Feature,Coefficient,AbsCoefficient
CIR763,-0.009338699336625721,0.009338699336625721
CIR762,-0.009307349414498818,0.009307349414498818
CIR803,-0.00897506037420684,0.00897506037420684
CIR846,-0.007909279637194634,0.007909279637194634
CIR809,0.0076289350517717265,0.0076289350517717265
CIR793,-0.007211947656998458,0.007211947656998458
CIR765,-0.007094892830441814,0.007094892830441814
CIR838,-0.007058272468952781,0.007058272468952781
CIR782,-0.006939623236532442,0.006939623236532442
CIR833,-0.006545715113078746,0.006545715113078746
CIR830,-0.006441038508134561,0.006441038508134561
CIR780,0.00618238404396322,0.00618238404396322
CIR776,0.0061631209518404955,0.0061631209518404955
CIR741,0.005796129520910187,0.005796129520910187
CIR841,-0.00567084228948635,0.00567084228948635
CIR800,0.005131094491555854,0.005131094491555854
CIR807,0.005087771604942144,0.005087771604942144
CIR798,-0.004791176771864706,0.004791176771864706
CIR849,-0.0047268891280766,0.0047268891280766
CIR829,-0.004558411849050716,0.004558411849050716
CIR811,0.004480807224878415,0.004480807224878415
CIR805,-0.004479130517241997,0.004479130517241997
CIR827,0.004382670793841722,0.004382670793841722
CIR848,0.004335592776683521,0.004335592776683521
CIR772,0.003807321946629385,0.003807321946629385
PREAM_LEN,0.003717885723323542,0.003717885723323542
CIR819,0.003657600369704562,0.003657600369704562
FRAME_LEN,0.0034701701561114366,0.0034701701561114366
CIR768,-0.003423081411149531,0.003423081411149531
CIR839,0.003111922139778416,0.003111922139778416
CIR799,-0.002787423310370137,0.002787423310370137
FP_AMP2,0.0027782367800689768,0.0027782367800689768
CIR770,-0.002775138832450319,0.002775138832450319
CIR734,-0.002770075383599881,0.002770075383599881
CIR731,-0.0019253528721737447,0.0019253528721737447
CIR840,0.0009209643804495817,0.0009209643804495817
CIR737,0.0007270040731126656,0.0007270040731126656
CIR791,-0.0005943141360922657,0.0005943141360922657
CIR845,0.0005868576397932697,0.0005868576397932697
CIR823,-0.0005586360078361931,0.0005586360078361931
CIR814,3.8565126196198986e-05,3.8565126196198986e-05
BITRATE,0.0,0.0
CH,0.0,0.0
PRFR,0.0,0.0
